date,lat,lon,Precip_mean,Air_Temp_mean,Air_Temp_cumsum,Precip_cumsum
2012-01-01,37.06007589478414,-118.22022407126973,0.0,5.788684930879376,5.788684930879376,0.0
2012-01-02,37.06007589478414,-118.22022407126973,0.0,5.780581242111798,11.569266172991174,0.0
2012-01-03,37.06007589478414,-118.22022407126973,0.0,7.8311133435017135,19.400379516492887,0.0
2012-01-04,37.06007589478414,-118.22022407126973,0.0,7.832911667487955,27.233291183980842,0.0
2012-01-05,37.06007589478414,-118.22022407126973,0.0,7.529056626553587,34.76234781053443,0.0
2012-01-06,37.06007589478414,-118.22022407126973,0.0,6.8310904980837845,41.59343830861821,0.0
2012-01-07,37.06007589478414,-118.22022407126973,0.0,4.532406438406398,46.12584474702461,0.0
2012-01-08,37.06007589478414,-118.22022407126973,0.0,6.281509405954694,52.4073541529793,0.0
2012-01-09,37.06007589478414,-118.22022407126973,0.0,6.882442870199193,59.289797023178494,0.0
2012-01-10,37.06007589478414,-118.22022407126973,0.0,5.715205036597024,65.00500205977552,0.0
2012-01-11,37.06007589478414,-118.22022407126973,0.0,5.401486731367984,70.4064887911435,0.0
2012-01-12,37.06007589478414,-118.22022407126973,0.0,4.417293830334244,74.82378262147775,0.0
2012-01-13,37.06007589478414,-118.22022407126973,0.0,4.290307414654345,79.1140900361321,0.0
2012-01-14,37.06007589478414,-118.22022407126973,0.0,3.2324253217867702,82.34651535791886,0.0
2012-01-15,37.06007589478414,-118.22022407126973,0.0,2.3995862722208177,84.74610163013968,0.0
2012-01-16,37.06007589478414,-118.22022407126973,0.0,0.14211975688184036,84.88822138702152,0.0
2012-01-17,37.06007589478414,-118.22022407126973,0.0,-0.4651005214954297,84.42312086552609,0.0
2012-01-18,37.06007589478414,-118.22022407126973,0.0,2.5185635630105234,86.9416844285366,0.0
2012-01-19,37.06007589478414,-118.22022407126973,0.0,3.5905630413695397,90.53224746990614,0.0
2012-01-20,37.06007589478414,-118.22022407126973,14.584274826059866,7.457995914714816,97.99024338462095,14.584274826059866
2012-01-21,37.06007589478414,-118.22022407126973,0.8292748548996477,2.6467634890709033,100.63700687369186,15.413549680959514
2012-01-22,37.06007589478414,-118.22022407126973,14.225483023689529,2.3909885132416546,103.02799538693351,29.639032704649043
2012-01-23,37.06007589478414,-118.22022407126973,1.2740930914092712,2.222246768197231,105.25024215513075,30.913125796058313
2012-01-24,37.06007589478414,-118.22022407126973,2.182535695073725,4.326241826671499,109.57648398180226,33.09566149113204
2012-01-25,37.06007589478414,-118.22022407126973,0.0,8.60926759981977,118.18575158162203,33.09566149113204
2012-01-26,37.06007589478414,-118.22022407126973,0.0,8.340831169947506,126.52658275156953,33.09566149113204
2012-01-27,37.06007589478414,-118.22022407126973,0.0,5.316166606687738,131.84274935825727,33.09566149113204
2012-01-28,37.06007589478414,-118.22022407126973,0.0,5.2857542191417135,137.128503577399,33.09566149113204
2012-01-29,37.06007589478414,-118.22022407126973,0.0,5.655369631944121,142.7838732093431,33.09566149113204
2012-01-30,37.06007589478414,-118.22022407126973,0.0,5.058728373041256,147.84260158238436,33.09566149113204
2012-01-31,37.06007589478414,-118.22022407126973,0.0,7.546189394829864,155.38879097721423,33.09566149113204
2012-02-01,37.06007589478414,-118.22022407126973,0.0,7.483541012061865,162.8723319892761,33.09566149113204
2012-02-02,37.06007589478414,-118.22022407126973,0.0,5.106817333656136,167.97914932293222,33.09566149113204
2012-02-03,37.06007589478414,-118.22022407126973,0.0,2.3945308142304578,170.37368013716267,33.09566149113204
2012-02-04,37.06007589478414,-118.22022407126973,0.0,3.1218859685250306,173.4955661056877,33.09566149113204
2012-02-05,37.06007589478414,-118.22022407126973,0.0,3.697772460007724,177.1933385656954,33.09566149113204
2012-02-06,37.06007589478414,-118.22022407126973,0.0,3.1009948382557493,180.29433340395116,33.09566149113204
2012-02-07,37.06007589478414,-118.22022407126973,0.0,4.488614098184878,184.78294750213604,33.09566149113204
2012-02-08,37.06007589478414,-118.22022407126973,0.0,6.372172416907381,191.15511991904341,33.09566149113204
2012-02-09,37.06007589478414,-118.22022407126973,0.0,8.723977823994526,199.87909774303793,33.09566149113204
2012-02-10,37.06007589478414,-118.22022407126973,0.0,8.68435507014382,208.56345281318175,33.09566149113204
2012-02-11,37.06007589478414,-118.22022407126973,0.05410313958253497,7.313186486017041,215.87663929919879,33.14976463071458
2012-02-12,37.06007589478414,-118.22022407126973,0.03131152748073021,7.465323520505438,223.34196281970424,33.18107615819531
2012-02-13,37.06007589478414,-118.22022407126973,0.6594341926196106,4.529941117345296,227.87190393704952,33.840510350814924
2012-02-14,37.06007589478414,-118.22022407126973,0.0,6.04132317201156,233.9132271090611,33.840510350814924
2012-02-15,37.06007589478414,-118.22022407126973,0.012551305884456314,3.1174103668452378,237.03063747590633,33.85306165669938
2012-02-16,37.06007589478414,-118.22022407126973,0.0,4.196724705380395,241.22736218128674,33.85306165669938
2012-02-17,37.06007589478414,-118.22022407126973,0.0,6.185662952081977,247.4130251333687,33.85306165669938
2012-02-18,37.06007589478414,-118.22022407126973,0.0,5.062642968383322,252.47566810175203,33.85306165669938
2012-02-19,37.06007589478414,-118.22022407126973,0.0,4.709538215887764,257.1852063176398,33.85306165669938
2012-02-20,37.06007589478414,-118.22022407126973,0.0,5.170505054768708,262.3557113724085,33.85306165669938
2012-02-21,37.06007589478414,-118.22022407126973,0.0,8.00105955078117,270.3567709231897,33.85306165669938
2012-02-22,37.06007589478414,-118.22022407126973,0.0,12.05818801151357,282.41495893470324,33.85306165669938
